n,structure,operation,time_s
100,BST,insert,0.00011113333312096074
100,BST,search,1.2866667627046505e-05
100,BST,delete,0.00019286666671784283
100,AVL,insert,0.000748066666953188
100,AVL,search,1.0533334716456011e-05
100,AVL,delete,0.0008865333341721756
100,MinHeap,insert,0.00013806666659850939
100,MinHeap,search,0.00021876666505704634
100,MinHeap,delete,0.00016956666756110886
100,HashTable,insert,0.0003105333332011166
100,HashTable,search,6.0333319803855074e-06
100,HashTable,delete,0.00035203333269843523
1000,BST,insert,0.0033953333331737667
1000,BST,search,8.393333215887348e-05
1000,BST,delete,0.0022253333324139626
1000,AVL,insert,0.00812943333342749
1000,AVL,search,6.843333297486727e-05
1000,AVL,delete,0.008293233332854774
1000,MinHeap,insert,0.0008602333327871747
1000,MinHeap,search,0.002077399999204014
1000,MinHeap,delete,0.0013286000006094885
1000,HashTable,insert,0.0018652333334709208
1000,HashTable,search,2.6866666303249076e-05
1000,HashTable,delete,0.0019509000000349868
10000,BST,insert,0.0552282333325517
10000,BST,search,0.0024185666673777937
10000,BST,delete,0.028002300001389813
10000,AVL,insert,0.08265036666731855
10000,AVL,search,0.0007351999993261416
10000,AVL,delete,0.08510656666718812
10000,MinHeap,insert,0.006515433332727601
10000,MinHeap,search,0.11355620000055448
10000,MinHeap,delete,0.012487333333410788
10000,HashTable,insert,0.018215999999180593
10000,HashTable,search,0.00020633333285028735
10000,HashTable,delete,0.017554966666163335
