V,E,density,algorithm,time_s
50,150,sparse,Dijkstra_heap,4.370000002988187e-05
50,150,sparse,Dijkstra_matrix,0.00031203333325417287
50,150,sparse,Prim_heap,5.676666645134295e-05
50,150,sparse,Bellman_Ford,0.00013486666663690508
100,300,sparse,Dijkstra_heap,0.00012076666659292339
100,300,sparse,Dijkstra_matrix,0.0013821999999284647
100,300,sparse,Prim_heap,0.00016853333333225842
100,300,sparse,Bellman_Ford,0.0006498666666630015
200,600,sparse,Dijkstra_heap,0.00016413333332820912
200,600,sparse,Dijkstra_matrix,0.004761033333428107
200,600,sparse,Prim_heap,0.00025156666667195776
200,600,sparse,Bellman_Ford,0.0008975000002161929
50,600,dense,Dijkstra_heap,0.00012286666681878464
50,600,dense,Dijkstra_matrix,0.00036643333351094043
50,600,dense,Prim_heap,0.00011853333353428752
50,600,dense,Bellman_Ford,0.000547133333535991
100,2400,dense,Dijkstra_heap,0.00027646666679477977
100,2400,dense,Dijkstra_matrix,0.001422533333273653
100,2400,dense,Prim_heap,0.0004498333335808032
100,2400,dense,Bellman_Ford,0.0022113666667185803
200,9800,dense,Dijkstra_heap,0.0009540999997928642
200,9800,dense,Dijkstra_matrix,0.005299100000229373
200,9800,dense,Prim_heap,0.0020288666664782795
200,9800,dense,Bellman_Ford,0.010284500000125263
